id,smiles,is_train
0,Cl.Cl.NCCCN1CCNC(=O)C1,1
1,COc1ccc(C[C@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)cc1OC,1
2,COC(=O)c1ccsc1N,1
3,CN(C)c1nc(Cl)c(CN)s1.Cl.Cl,1
4,Nc1cc(N2CCCC2)ccn1,1
5,Nc1cc(C(F)(F)F)cnc1Cl,1
6,Cl.NCCN1C(=O)c2ccccc2S1(=O)=O,1
7,O=C(O)C[C@@H](Cc1ccc(F)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21,1
8,CC(CN)Sc1ccccc1,1
9,Cn1nccc1CN,1
10,Cc1ccc([N+](=O)[O-])c(N)n1,1
11,Cc1cnc(F)c(CN)c1,1
12,NCC1(O)CCSC1,1
13,Nc1cccc2c(=O)[nH][nH]c(=O)c12,1
14,NCC1(OCCO)CCC1,1
15,Br.Br.NCC1CCCN1c1cccnn1,1
16,Nc1cc(Cl)c([N+](=O)[O-])cn1,1
17,Nc1cnc(Cl)cn1,1
18,NCc1cccnc1,1
19,Cl.NCc1cnoc1C1CC1,1
20,CCOc1ccnc(N)c1,1
21,O=C(N[C@@H](Cc1ccc(Br)cc1)C(=O)O)OCC1c2ccccc2-c2ccccc21,1
22,Cl.NCc1ccc(-c2c[nH]c(=O)[nH]c2=O)cc1,1
23,O=C(O)C1CCN(C(=O)OCC2c3ccccc3-c3ccccc32)C1,1
24,Cc1cc(C)c(NC(=O)OCC2c3ccccc3-c3ccccc32)c(C(=O)O)c1,1
25,Cl.NCCNC(N)=O,1
26,CC1(C)CC(CN)C(C)(C)O1,1
27,C#CC[C@@](C)(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,1
28,O=C(O)CC1(NC(=O)OCC2c3ccccc3-c3ccccc32)CCCCC1,1
29,Cc1cccc2oc(CCN)nc12.Cl.Cl,1
30,Nc1nc(Cl)c2[nH]cnc2n1,1
31,CC(C)(C)OC(=O)CCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,1
32,Cl.NCc1ccc(CN2C(=O)CNC2=O)cc1,1
33,NCCN1CC[C@@H](O)C1,1
34,N#Cc1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)c(C(=O)O)c1,1
35,COC(CN)C1CCOC1,1
36,CC1CC(CN)C(C)O1,1
37,Cc1cc(C)c(CN)c(=O)[nH]1.Cl,1
38,Nc1cccc2ncccc12,1
39,Cl.NCCNC(=O)c1ccccc1F,1
40,NCCNC(=O)c1cccnc1,1
41,O=C(Nc1cccc(Br)c1C(=O)O)OCC1c2ccccc2-c2ccccc21,1
42,Cc1cc(C(=O)O)ccc1NC(=O)OCC1c2ccccc2-c2ccccc21,1
43,Cc1ccccc1-n1nc(C)c(CN)c1C.Cl.Cl,1
44,CC(O)(CN)c1ccsc1,1
45,O=C(O)[C@H]1C[C@H](O)CN1C(=O)OCC1c2ccccc2-c2ccccc21,1
